Name,Set,Rarity,Price
Frenzied Raptor,IKO,C,0.25
Almighty Brushwagg,IKO,C,0.25
Spelleater Wolverine,IKO,C,0.25
Blitz Leech,IKO,C,0.25
Serrated Scorpion,IKO,C,0.25
Aegis Turtle,IKO,C,0.25
Flycatcher Giraffid,IKO,C,0.25
Blisterspit Gremlin,IKO,C,0.25
Suffocating Fumes,IKO,C,0.25
Humble Naturalist,IKO,C,0.25
Blazing Volley,IKO,C,0.25
Anticipate,IKO,C,0.25
Frostveil Ambush,IKO,C,0.25
Essence Scatter,IKO,C,0.25
Unexpected Fangs,IKO,C,0.25
Shredded Sails,IKO,C,0.25
Blood Curdle,IKO,C,0.25
Adventurous Impulse,IKO,C,0.25
Lava Serpent,IKO,C,0.25
Savai Sabertooth,IKO,C,0.25
Wingfold Pteron,IKO,C,0.25
Unlikely Aid,IKO,C,0.25
Dead Weight,IKO,C,0.25
Raking Claws,IKO,C,0.25
Ram Through,IKO,C,0.25
Phase Dolphin,IKO,C,0.25
Cavern Whisperer,IKO,C,0.25
Plummet,IKO,C,0.25
Dreamtail Heron,IKO,C,0.25
Adaptive Shimmerer,IKO,C,0.25
Durable Coilbug,IKO,C,0.25
Gust of Wind,IKO,C,0.25
Convolute,IKO,C,0.25
Blade Banish,IKO,C,0.25
Honey Mammoth,IKO,C,0.25
Coordinated Charge,IKO,C,0.25
Sleeper Dart,IKO,C,0.25
Daysquad Marshal,IKO,C,0.25
Vulpikeet,IKO,C,0.25
Greater Sandwurm,IKO,C,0.25
Hampering Snare,IKO,C,0.25
Springjaw Trap,IKO,C,0.25
Divine Arrow,IKO,C,0.25
Imposing Vantasaur,IKO,C,0.25
Drannith Healer,IKO,C,0.25
Bloodfell Caves,IKO,C,0.25
Sudden Spinnerets,IKO,C,0.25
Maned Serval,IKO,C,0.25
Blossoming Sands,IKO,C,0.25
Perimeter Sergeant,IKO,C,0.25
Crystacean,IKO,C,0.25
Snare Tactician,IKO,C,0.25
Swiftwater Cliffs,IKO,C,0.25
Solid Footing,IKO,C,0.25
Startling Development,IKO,C,0.25
Gloom Pangolin,IKO,C,0.25
Bristling Boar,IKO,C,0.25
Cloudpiercer,IKO,C,0.25
Pacifism,IKO,C,0.25
Fully Grown,IKO,C,0.25
Thwart the Enemy,IKO,C,0.25
Go for Blood,IKO,C,0.25
Forbidden Friendship,IKO,C,0.25
Capture Sphere,IKO,C,0.25
Cathartic Reunion,IKO,C,0.25
Wilt,IKO,C,0.25
Mosscoat Goriak,IKO,C,0.25
Light of Hope,IKO,C,0.25
Checkpoint Officer,IKO,C,0.25
Essence Symbiote,IKO,C,0.25
Migratory Greathorn,IKO,C,0.25
Dismal Backwater,IKO,C,0.25
Evolving Wilds,IKO,C,0.25
Lurking Deadeye,IKO,C,0.25
Jungle Hollow,IKO,C,0.25
Rumbling Rockslide,IKO,C,0.25
Facet Reader,IKO,C,0.25
Rugged Highlands,IKO,C,0.25
