Name,Set,Rarity,Price
Acclaimed Contender,ELD,Rare,0.41
Stolen by the Fae,ELD,Rare,0.39
Witch's Vengeance,ELD,Rare,0.38
Oathsworn Knight,ELD,Rare,0.38
Escape to the Wilds,ELD,Rare,0.37
Opportunistic Dragon,ELD,Rare,0.34
Lochmere Serpent,ELD,Rare,0.34
Happily Ever After,ELD,Rare,0.33
Sundering Stroke,ELD,Rare,0.3
Mystical Dispute,ELD,U,1.48
Drown in the Loch,ELD,U,1
Cauldron Familiar,ELD,U,0.8
All That Glitters,ELD,U,0.63
Witch's Oven,ELD,U,0.45
Deafening Silence,ELD,U,0.41
"Syr Konrad, the Grim",ELD,U,0.3
Foulmire Knight,ELD,U,0.25
Order of Midnight,ELD,U,0.25
Embereth Shieldbreaker,ELD,U,0.25
Beanstalk Giant,ELD,U,0.25
Claim the Firstborn,ELD,U,0.25
Edgewall Innkeeper,ELD,U,0.25
Revenge of Ravens,ELD,U,0.25
Oakhame Adversary,ELD,U,0.25
Sorcerer's Broom,ELD,U,0.25
Skullknocker Ogre,ELD,U,0.25
"Grumgully, the Generous",ELD,U,0.25
"Syr Elenora, the Discerning",ELD,U,0.25
Heraldic Banner,ELD,U,0.25
Slaying Fire,ELD,U,0.25
Shepherd of the Flock,ELD,U,0.25
Arcanist's Owl,ELD,U,0.25
Inspiring Veteran,ELD,U,0.25
Lucky Clover,ELD,U,0.25
Trail of Crumbs,ELD,U,0.25
Enchanted Carriage,ELD,U,0.25
Overwhelmed Apprentice,ELD,U,0.25
Tournament Grounds,ELD,U,0.25
Epic Downfall,ELD,U,0.25
Improbable Alliance,ELD,U,0.25
Into the Story,ELD,U,0.25
Oakhame Ranger,ELD,U,0.25
Hypnotic Sprite,ELD,U,0.25
Kenrith's Transformation,ELD,U,0.25
Deathless Knight,ELD,U,0.25
Sage of the Falls,ELD,U,0.25
"Syr Faren, the Hengehammer",ELD,U,0.25
Clockwork Servant,ELD,U,0.25
"Syr Carah, the Bold",ELD,U,0.24
Spinning Wheel,ELD,U,0.24
Redcap Melee,ELD,U,0.24
Specter's Shriek,ELD,U,0.24
Wandermare,ELD,U,0.24
Cauldron's Gift,ELD,U,0.24
Glass Casket,ELD,U,0.24
Joust,ELD,U,0.24
Fireborn Knight,ELD,U,0.24
Belle of the Brawl,ELD,U,0.24
Covetous Urge,ELD,U,0.24
Inquisitive Puppet,ELD,U,0.24
Mysterious Pathlighter,ELD,U,0.24
Loch Dragon,ELD,U,0.24
Archon of Absolution,ELD,U,0.24
Bog Naughty,ELD,U,0.24
Elite Headhunter,ELD,U,0.24
"Syr Alin, the Lion's Claw",ELD,U,0.24
Rampart Smasher,ELD,U,0.24
Animating Faerie,ELD,U,0.23
Shambling Suit,ELD,U,0.23
Ferocity of the Wilds,ELD,U,0.23
Burning-Yard Trainer,ELD,U,0.23
Giant Opportunity,ELD,U,0.23
Keeper of Fables,ELD,U,0.23
Shinechaser,ELD,U,0.23
Once and Future,ELD,U,0.23
Wintermoor Commander,ELD,U,0.23
Mad Ratter,ELD,U,0.23
Turn into a Pumpkin,ELD,U,0.23
Flaxen Intruder,ELD,U,0.22
Venerable Knight,ELD,U,0.22
Steelclaw Lance,ELD,U,0.22
Rally for the Throne,ELD,U,0.22
Faerie Vandal,ELD,U,0.22
Resolute Rider,ELD,U,0.21
Righteousness,ELD,U,0.21
Thunderous Snapper,ELD,U,0.21
Frogify,ELD,U,0.21
Savvy Hunter,ELD,U,0.21
Maraleaf Pixie,ELD,U,0.21
